Relative Path,Human Readable Path,Title,Date,Codecraft Present
docs/zh-CN/Sensor/Wio_Terminal/Tutorial/CN-Azure_IoT_CC.md,zh-CN/Sensor/Wio_Terminal/Tutorial,将 Azure IoT 与 Wio 终端连接起来的 Codecraft,3/08/2024,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Switch&Button/_Grove-Magnetic_Switch_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Switch&Button,Modulo Magnetico,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Actuator/_Grove-Vibration_Motor_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Actuator,Vibration Motor,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Actuator/_Grove-Speaker_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Actuator,Módulo Grove - Altavoz,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Actuator/_Grove-Hall_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Actuator,Hall Sensor,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Actuator/_Grove-Buzzer_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Actuator,Zumbador-Grove,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Actuator/_Grove-Relay_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Actuator,Grove - Módulo Relevador,06/20/23,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Display/_Grove-4-Digit_Display_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Display,Display de 4 Segmentos,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Switch&Button/_Grove-Button_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Switch&Button,Boton de pulso momentario,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Switch&Button/_Grove-Thumb_Joystick_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Switch&Button,Thumb joystick,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/Input&Output/_Grove-Rotary_Angle_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/Input&Output,Sensor Rotatorio,06/20/23,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Light/_Grove-Flame_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Light,Sensor de Flama,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Accessories/LED/_Grove-Chainable_RGB_LED_Spanish.md,Spanish/Sensor/Grove/Grove_Accessories/LED,LED RGB Encadenable - Grove,06/20/2023,True
docs/Topics/Open_Source/Open_Source_Topic.md,Topics/Open_Source,Open Source,12/18/2023,True
docs/Topics/TinyML/TinyML_Topic.md,Topics/TinyML,TinyML,05/28/2024,True
docs/Sensor/Grove/Grove_Sensors/Motion/Grove-PIR_Motion_Sensor.md,Sensor/Grove/Grove_Sensors/Motion,Grove - PIR Motion Sensor,1/6/2023,True
docs/Sensor/Grove/Grove_Sensors/Motion/Grove-Slide_Potentiometer.md,Sensor/Grove/Grove_Sensors/Motion,Grove - Slide Potentiometer,1/6/2023,True
docs/Sensor/Grove/Grove_Sensors/Motion/Grove-Tilt_Switch.md,Sensor/Grove/Grove_Sensors/Motion,Grove - Tilt Switch,1/6/2023,True
docs/Sensor/Grove/Grove_Sensors/Motion/Grove-Vibration_Sensor_SW-420.md,Sensor/Grove/Grove_Sensors/Motion,Grove - Vibration Sensor(SW-420),1/7/2023,True
docs/Sensor/Grove/Grove_Accessories/LED/Grove-Circular_LED.md,Sensor/Grove/Grove_Accessories/LED,Grove - Circular LED,1/7/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Light/_Grove-Line_Finder_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Light,Seguidor de linea,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Light/_Grove-Light_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Light,Light Sensor,06/20/2023,True
docs/Sensor/Grove/Grove_Sensors/Sound/Grove-Sound_Sensor.md,Sensor/Grove/Grove_Sensors/Sound,Grove - Sound Sensor,01/06/2022,True
docs/zh-CN/Sensor/Wio_Terminal/Kit_with_Courses/CN-Wio-Terminal-TinyML.md,zh-CN/Sensor/Wio_Terminal/Kit_with_Courses,什么是TinyML,3/05/2024,True
docs/Sensor/Grove/Grove_Sensors/Accelerometer/Grove-3-Axis_Digital_Accelerometer-16g.md,Sensor/Grove/Grove_Sensors/Accelerometer,Grove - 3 Axis Digital Accelerometer(±16g),1/5/2023,True
docs/Sensor/SeeedStudio_XIAO/Kit_with_Courses/XIAO-Kit-Courses.md,Sensor/SeeedStudio_XIAO/Kit_with_Courses,Seeed Studio XIAO Kit Courses,1/11/2023,True
docs/Sensor/Grove/Grove_Sensors/Air_Quality/Grove-Air_Quality_Sensor_v1.3.md,Sensor/Grove/Grove_Sensors/Air_Quality,Grove - Air Quality Sensor v1.3,1/5/2023,True
docs/Sensor/Grove/Grove_Sensors/Proximity/Grove-Ultrasonic_Ranger.md,Sensor/Grove/Grove_Sensors/Proximity,Grove - Ultrasonic Ranger,03/01/2023,True
docs/Sensor/Grove/Grove_Sensors/Proximity/Grove-Gesture_v1.0.md,Sensor/Grove/Grove_Sensors/Proximity,Grove - Gesture V1.0,09/23/2024,True
docs/Sensor/Grove/Grove_Sensors/Soli_Humidity/Grove-Moisture_Sensor.md,Sensor/Grove/Grove_Sensors/Soli_Humidity,Grove - Moisture Sensor,1/9/2023,True
docs/Sensor/Grove/Grove_Sensors/Liquid/Grove-Water_Sensor.md,Sensor/Grove/Grove_Sensors/Liquid,Grove - Water Sensor,1/6/2023,True
docs/zh-CN/Sensor/Wio_Terminal/CN-Wio_Terminal_Intro.md,zh-CN/Sensor/Wio_Terminal,Wio Terminal Guide,3/06/2024,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Recorder_v3.0.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Recorder V3,01/09/2022,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Motion/_Grove-Tilt_Switch_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Motion,Grove - Interruptor de Inclinación,06/20/2023,True
docs/Sensor/Grove/Grove_Sensors/Temp&Humi/Grove-TemperatureAndHumidity_Sensor.md,Sensor/Grove/Grove_Sensors/Temp&Humi,Grove - Temperature&Humidity Sensor (DHT11),1/3/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Touch/_Grove-Touch_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Touch,Sensor Touch,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Proximity/_Grove-Ultrasonic_Ranger_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Proximity,Grove - Ultrasónico,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Soli_Humidity/_Grove-Moisture_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Soli_Humidity,Sensor de HUmedad,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Liquid/_Grove-Water_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Liquid,Water Sensor,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Temp&Humi/_Grove-TemperatureAndHumidity_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Temp&Humi,Sensor de temperatura y humedad,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Motion/_Grove-PIR_Motion_Sensor_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Motion,Motion Sensor,06/20/2023,True
docs/Spanish/Sensor/Grove/Grove_Sensor/Motion/_Grove-Vibration_Sensor_SW-420_Spanish.md,Spanish/Sensor/Grove/Grove_Sensor/Motion,The Grove - Vibration Sensor,06/20/2023,True
docs/Sensor/Grove/Grove_Sensors/Motion/Grove-Collision_Sensor.md,Sensor/Grove/Grove_Sensors/Motion,Grove - Collision Sensor,1/6/2023,True
docs/Sensor/Grove/Grove_Sensors/Light/Grove-Light_Sensor.md,Sensor/Grove/Grove_Sensors/Light,Grove - Light Sensor,1/5/2023,True
docs/Sensor/Grove/Grove_Accessories/LED/Grove-Red_LED.md,Sensor/Grove/Grove_Accessories/LED,Grove - Red LED,1/9/2023,True
docs/zh-CN/Sensor/Grove/Grove_Accessories/Display/cn-Grove-LCD_RGB_Backlight.md,zh-CN/Sensor/Grove/Grove_Accessories/Display,Grove - RGB背光液晶显示屏,03/23/2024,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Speaker.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Speaker,01/09/2022,True
docs/zh-CN/Sensor/Grove/Grove_Accessories/Actuator/cn-Grove-Vibration_Motor.md,zh-CN/Sensor/Grove/Grove_Accessories/Actuator,Grove - 震动电机,03/21/2024,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Servo.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Servo,01/09/2022,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Hall_Sensor.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Hall Sensor,2/22/2023,True
docs/zh-CN/Sensor/Grove/Grove_Accessories/Display/cn-Grove-4-Digit_Display.md,zh-CN/Sensor/Grove/Grove_Accessories/Display,Grove - 四位数码显示屏,03/22/2024,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-I2C_Motor_Driver_V1.3.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - I2C Motor Driver V1.3,01/09/2022,True
docs/Sensor/Grove/Grove_Accessories/Current/Grove-Electromagnet.md,Sensor/Grove/Grove_Accessories/Current,Grove - Electromagnet,2/22/2023,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Vibration_Motor.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Vibration Motor,01/09/2022,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Chainable_RGB_LED.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Chainable RGB LED,01/09/2022,True
docs/Sensor/Grove/Grove_Sensors/Light/Grove-Flame_Sensor.md,Sensor/Grove/Grove_Sensors/Light,Grove - Flame Sensor,1/5/2023,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Voltage_Divider.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Voltage Divider,11/30/2023,True
docs/zh-CN/Sensor/Grove/Grove_Accessories/Switch&Button/cn-Grove-Thumb_Joystick.md,zh-CN/Sensor/Grove/Grove_Accessories/Switch&Button,Grove - 拇指摇杆,03/23/2024,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Buzzer.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Buzzer,01/09/2022,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-EL_Driver.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - EL Driver,01/09/2022,True
docs/Sensor/Grove/Grove_Accessories/Actuator/Grove-Mini_Fan.md,Sensor/Grove/Grove_Accessories/Actuator,Grove - Mini Fan,01/09/2022,True
docs/zh-CN/Sensor/Grove/Grove_Accessories/Switch&Button/cn-Grove-Magnetic_Switch.md,zh-CN/Sensor/Grove/Grove_Accessories/Switch&Button,Grove - 磁控开关,03/23/2024,True
